ln_mbh_grid,initial_condition,initial_condition_recovered,outputs_n_final,target_data,metrics,metrics_init
6.0,6.8324116515388145e-12,9.986190911053938e-12,9.986190911053938e-12,6.277711682209244e-12,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
6.375,1.487491928694389e-10,1.809085055873006e-10,1.1972091265844618e-11,8.674636318289702e-12,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
6.75,3.200925156491303e-09,2.6869254340736855e-09,1.4352916998518094e-11,1.123629660600309e-11,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
7.125,5.714251465532913e-08,3.2718226083081486e-08,1.7207204805906047e-11,1.5854272386680314e-11,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
7.5,7.88612971897533e-07,3.2663400072400444e-07,2.0629109575212244e-11,2.0629111963085177e-11,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
7.875,8.2223677471903e-06,2.6734405935478104e-06,2.4731538854809767e-11,2.5187492460829792e-11,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
8.25,6.429081482541112e-05,1.7939783288371395e-05,2.966619667030775e-11,3.235117366428389e-11,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
8.625,0.0003761401920250293,9.86997057297993e-05,3.9423273314428334e-11,4.4631066766305645e-11,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
9.0,0.0016466160378336486,0.0004888074477446186,4.762654352629572e-10,4.762441848138363e-10,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
9.375,0.005404082538457913,0.015620353988246526,7.274197405224169e-08,7.291021472901326e-08,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
9.75,0.01336991237233609,0.11185962349655312,5.778428420894831e-06,4.693053856716504e-06,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
10.125,0.025277635307472405,0.015576980749684975,0.00012853507870106196,8.958924892397198e-05,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
10.5,0.037702875498244026,0.02528083226398689,0.0012390258155657219,0.0012388289836808004,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
10.875,0.04731580337809926,0.04223708670864618,0.006378201535290988,0.00555203398203376,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
11.25,0.054734227674983364,0.057854968531453256,0.020002649106682466,0.020374216962375076,"NRMSE=26.21%
sMAPE=16.00%
MAPE*=11.74%","NRMSE=109.61%
sMAPE=76.34%
MAPE*=78.05%"
