id,meanLB,meanLBErr,meanLBBias,meanLBConfiIn0,meanLBConfiIn1,z,massBH,nObjects,zmax
1,2.19827386271176e+45,1.05171787529283e+44,-3.18229989411875e+42,1.96818620173004e+45,2.43786078404566e+45,0.3,7.7,111,0.398900002241135
2,2.15469294818211e+45,8.34812227080601e+43,3.27283522502255e+42,1.97884885250233e+45,2.3584260213624e+45,0.3,7.8,121,0.399699985980988
3,3.22927049520987e+45,1.6548605613979e+44,-3.86629475395793e+42,2.8874757646799e+45,3.62523793708762e+45,0.4,7.8,96,0.499900013208389
4,2.48584839615367e+45,1.49933559966836e+44,5.14999489049884e+41,2.18093551688999e+45,2.86254440141363e+45,0.3,7.9,127,0.399899989366531
5,4.86311517514211e+45,2.5894131961691e+44,-5.96624196896586e+42,4.29543798282685e+45,5.44522915488978e+45,0.5,7.9,92,0.59689998626709
6,3.68167772670648e+45,1.88845079717423e+44,-8.73053297423257e+41,3.28509261883089e+45,4.12637343719436e+45,0.4,8,153,0.499199986457825
7,6.01088527115004e+45,4.0767271770529e+44,-6.93548481412725e+42,5.24083481569965e+45,7.00563930966765e+45,0.6,8,70,0.699400007724762
8,2.39373810852508e+45,1.16316408523116e+44,-1.09097018023841e+42,2.14580624566024e+45,2.65575423852458e+45,0.3,8.1,152,0.399899989366531
9,3.22723409440217e+45,1.29724441153748e+44,-1.84440016616981e+42,2.95821006626114e+45,3.55543637373178e+45,0.4,8.1,166,0.5
10,6.01921124333056e+45,2.01110340729209e+44,-3.5628894744284e+42,5.56877421857169e+45,6.4643795507194e+45,0.6,8.1,131,0.698300004005432
11,9.52282532758389e+45,3.50365999228006e+44,1.07272974711152e+43,8.80524252897066e+45,1.03699204820053e+46,0.8,8.1,62,0.899699985980988
12,3.88991503498565e+45,2.02824335483248e+44,4.47873222353458e+40,3.4748711493486e+45,4.36564435039847e+45,0.4,8.2,160,0.499000012874603
13,4.95562671813165e+45,1.75438711413158e+44,-1.06920633131603e+42,4.58679326950245e+45,5.36911087483458e+45,0.5,8.2,161,0.599799990653992
14,6.55609677861769e+45,3.54386006950168e+44,-4.63166572728857e+41,5.82496659954129e+45,7.41501817186805e+45,0.6,8.2,125,0.696399986743927
15,7.72803016168883e+45,3.13300330612843e+44,9.63167496979241e+42,7.09638575666327e+45,8.47516533407067e+45,0.7,8.2,86,0.798600018024445
16,2.66429655208026e+45,1.30175878725172e+44,5.95327722367387e+42,2.38934900855859e+45,2.9691287370308e+45,0.3,8.3,171,0.399100005626678
17,5.30721348512111e+45,2.21712369326438e+44,-1.76512544382192e+42,4.83577226303514e+45,5.85173361282745e+45,0.5,8.3,193,0.599500000476837
18,6.6843369782612e+45,2.38930138486115e+44,1.33247909242201e+43,6.20136313074439e+45,7.25189600202368e+45,0.6,8.3,170,0.699400007724762
19,8.58715032495072e+45,3.45839912866544e+44,5.12150838946454e+41,7.85652549209933e+45,9.41695936214272e+45,0.7,8.3,116,0.796800017356873
20,1.00938409523856e+46,3.18240271964132e+44,1.20733272722466e+43,9.43640227007195e+45,1.08557025343196e+46,0.8,8.3,112,0.898000001907349
21,1.20800541926335e+46,4.86982637095374e+44,-8.44911616921445e+42,1.10374085749364e+46,1.32229941210502e+46,0.9,8.3,60,0.999599993228912
22,3.98153838100325e+45,2.20371035418383e+44,4.40358867514578e+42,3.53051867832146e+45,4.50175102725467e+45,0.4,8.4,204,0.5
